"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"384","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:06:52,FALSE,NA,"1038956943849734144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tatan_260100",7361,TRUE,FALSE,NA,NA
"385","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:06:50,FALSE,NA,"1038956932298493952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sevenstargazer",7361,TRUE,FALSE,NA,NA
"386","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:06:47,FALSE,NA,"1038956920269230081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maspleki",7361,TRUE,FALSE,NA,NA
"387","RT @MUKESHV50622739: #YehSarkarDhokhaHai #Hari_Aaye_Haryane_Nu 
#HappyBirthdayAkshayKumar #SantRampalJiMaharaj 
#USOpen 
#UsOpenFinal 
#UsO…",FALSE,0,NA,2018-09-10 01:06:43,FALSE,NA,"1038956905924767744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ramniwa26483160",14,TRUE,FALSE,NA,NA
"388","RT @setkabgoid: Walaupun #AsianGames2018 tlh usai,perjuangan para atlet tdk akan dilupakan. Setkab ajak kamu utk menebak 5 atlet yg tlh ber…",FALSE,0,NA,2018-09-10 01:06:39,FALSE,NA,"1038956887658516481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RickyTambunan9",379,TRUE,FALSE,NA,NA
"389","RT @GODHANBIN: 인도네시아에서 사랑을했다 떼창 나오는 거 보고 내 귀가 이상한 줄 알았다...
이래서 i""K""ON이었음.
상상했던 것보다 훨씬 더 벅차고 자랑스럽고 소름 돋는다.
아이콘 진짜 자랑스러워.
잊지 못할 폐막식.
#iKON #i…",FALSE,0,NA,2018-09-10 01:06:34,FALSE,NA,"1038956866460516353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZlPLnuf1zu2YvJZ",203,TRUE,FALSE,NA,NA
"390","RT @beacukaipriok: Testimoni GL Events, kontraktor utama #ASIANGAMES2018 , untuk #BeaCukai dalam memfasilitasi pemeriksaan barang impor sem…",FALSE,0,NA,2018-09-10 01:06:31,FALSE,NA,"1038956855840530432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BCTemas",14,TRUE,FALSE,NA,NA
"391","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:06:17,FALSE,NA,"1038956796650483712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fershafefey",7361,TRUE,FALSE,NA,NA
"392","RT @WeLoveChoiSiwon: 180902 - Indonesian badminton player greyspolii IG story update with Siwon at the #AsianGames2018 https://t.co/57MoObp…",FALSE,0,NA,2018-09-10 01:06:17,FALSE,NA,"1038956795958423553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FRdImLoGAhYnRC4",34,TRUE,FALSE,NA,NA
"393","RT @bertrand_russe: @carmenghia6 @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma @m_y_e…",FALSE,0,NA,2018-09-10 01:05:59,FALSE,NA,"1038956720028962817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bertrand_russe",10,TRUE,FALSE,NA,NA
"394","RT @shirishthorat: I am a Complan boy
I am a Horlicks girl
Boost is the secret of my energy 

Koi fayda nahi - all medals went to roti, chu…",FALSE,0,NA,2018-09-10 01:05:54,FALSE,NA,"1038956696591314945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vkmgowda",5434,TRUE,FALSE,NA,NA
"395","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:05:53,FALSE,NA,"1038956693743230976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ktaeyyri",7361,TRUE,FALSE,NA,NA
